,points_range,deslen,price_range,variety,province
181,85-89,319,10-19,Pinot Noir,Victoria
182,90-94,331,40-49,Chardonnay,Victoria
183,90-94,310,10-19,Riesling,South Australia
184,90-94,282,40-49,Viognier,South Australia
185,90-94,233,20-29,Cabernet Sauvignon,South Australia
186,90-94,311,20-29,Shiraz-Grenache,South Australia
187,85-89,252,20-29,Shiraz-Cabernet Sauvignon,South Australia
188,80-84,181,10-19,Red Blend,Australia Other
189,85-89,212,20-29,Merlot,South Australia
190,85-89,278,10-19,Cabernet Sauvignon,South Australia
191,85-89,261,30-39,Cabernet Sauvignon-Sangiovese,Victoria
192,90-94,299,30-39,Cabernet Sauvignon,South Australia
193,90-94,401,60-79,Shiraz,South Australia
194,90-94,339,20-29,Shiraz,South Australia
195,90-94,273,40-49,Shiraz-Viognier,South Australia
196,85-89,191,100+,Bordeaux-style Red Blend,Victoria
197,85-89,182,20-29,Chardonnay,Western Australia
198,85-89,148,30-39,Tokay,Victoria
199,80-84,224,20-29,Red Blend,South Australia
200,80-84,179,10-19,Cabernet Blend,Western Australia
201,90-94,258,40-49,Chardonnay,Western Australia
202,90-94,256,40-49,Chardonnay,Western Australia
203,90-94,317,50-59,Bordeaux-style Red Blend,Western Australia
204,90-94,247,20-29,Shiraz,South Australia
205,90-94,226,60-79,Shiraz,South Australia
206,85-89,279,10-19,Sauvignon Blanc,South Australia
207,85-89,287,<10,Petite Sirah,Australia Other
208,85-89,210,10-19,Rosé,New South Wales
209,85-89,182,20-29,Chardonnay,Western Australia
210,85-89,191,100+,Bordeaux-style Red Blend,Victoria
211,85-89,244,80-99,Shiraz,South Australia
212,90-94,319,20-29,Cabernet Sauvignon,South Australia
213,90-94,171,10-19,Pinot Grigio,Victoria
214,85-89,129,20-29,Rosé,South Australia
215,85-89,346,10-19,Port,Australia Other
216,90-94,280,30-39,Shiraz,South Australia
217,90-94,248,50-59,Shiraz,South Australia
218,90-94,315,10-19,Shiraz,South Australia
219,85-89,198,10-19,Chardonnay,Australia Other
220,85-89,190,10-19,Shiraz,Western Australia
221,85-89,297,10-19,Red Blend,Victoria
222,85-89,180,20-29,Sauvignon Blanc-Semillon,Western Australia
223,85-89,325,10-19,Chardonnay-Semillon,South Australia
224,85-89,228,10-19,Shiraz-Cabernet Sauvignon,Australia Other
225,90-94,382,100+,Shiraz,South Australia
226,85-89,328,30-39,Riesling,South Australia
227,85-89,231,10-19,Shiraz,South Australia
228,90-94,282,100+,Chardonnay,Tasmania
229,80-84,125,10-19,Shiraz,Australia Other
230,80-84,96,10-19,Shiraz,Australia Other
231,85-89,279,10-19,Shiraz,Victoria
232,90-94,277,10-19,Riesling,Western Australia
233,90-94,397,60-79,Shiraz,South Australia
234,90-94,367,10-19,Riesling,South Australia
235,90-94,242,30-39,Pinot Noir,Tasmania
236,85-89,156,10-19,Pinot Grigio,South Australia
237,90-94,178,60-79,Shiraz,South Australia
238,85-89,302,50-59,Shiraz,South Australia
239,85-89,415,20-29,Shiraz,South Australia
240,85-89,278,20-29,Verdelho,South Australia
241,85-89,208,20-29,Shiraz-Viognier,South Australia
242,85-89,287,<10,Petite Sirah,Australia Other
243,90-94,314,30-39,Grenache,South Australia
244,90-94,250,60-79,Shiraz,South Australia
245,90-94,249,50-59,Cabernet Sauvignon,South Australia
246,90-94,221,40-49,G-S-M,South Australia
247,90-94,295,30-39,Grenache-Shiraz,South Australia
248,90-94,197,10-19,Shiraz,South Australia
249,90-94,331,50-59,Grenache,South Australia
250,90-94,224,20-29,Shiraz,South Australia
251,90-94,284,10-19,Pinot Gris,Victoria
252,85-89,241,10-19,Shiraz,South Australia
253,90-94,329,30-39,White Blend,Australia Other
254,90-94,340,50-59,Cabernet Sauvignon-Shiraz,South Australia
255,85-89,259,10-19,Cabernet Sauvignon,South Australia
256,90-94,296,20-29,Shiraz,South Australia
257,90-94,254,60-79,Shiraz,South Australia
258,90-94,202,30-39,Shiraz,Victoria
259,90-94,370,20-29,Pinot Noir,South Australia
260,90-94,227,10-19,Riesling,South Australia
261,90-94,211,10-19,Riesling,South Australia
262,90-94,252,20-29,Sparkling Blend,Tasmania
263,90-94,231,10-19,Riesling,South Australia
264,90-94,225,40-49,Riesling,South Australia
265,90-94,382,30-39,Cabernet Sauvignon,South Australia
266,90-94,186,10-19,Sémillon,New South Wales
267,90-94,347,20-29,Cabernet Sauvignon,South Australia
268,90-94,324,100+,Shiraz,South Australia
269,90-94,345,100+,Cabernet Sauvignon-Shiraz,South Australia
270,85-89,216,10-19,Riesling,South Australia
271,85-89,229,10-19,Viognier,Australia Other
272,85-89,231,10-19,Chardonnay,Victoria
273,90-94,341,100+,Shiraz,South Australia
274,90-94,293,60-79,Shiraz,South Australia
275,90-94,285,80-99,Shiraz,South Australia
276,85-89,264,40-49,Pinot Noir,Victoria
277,90-94,175,10-19,Shiraz,South Australia
278,80-84,173,<10,Chardonnay,Australia Other
279,80-84,97,10-19,Sparkling Blend,Australia Other
280,80-84,231,10-19,Sparkling Blend,Australia Other
281,85-89,259,10-19,Shiraz,Victoria
282,90-94,236,50-59,Cabernet Sauvignon,South Australia
283,90-94,321,60-79,Merlot,South Australia
284,85-89,309,10-19,G-S-M,South Australia
285,85-89,291,10-19,Shiraz,Victoria
286,85-89,350,60-79,Shiraz,Victoria
287,90-94,233,100+,Chardonnay,Victoria
288,90-94,212,40-49,Riesling,South Australia
289,90-94,316,80-99,Chardonnay,Western Australia
