,points_range,deslen,price_range,variety,province
1050,80-84,207,10-19,Malbec,Mendoza Province
1051,80-84,156,10-19,Malbec,Mendoza Province
1052,85-89,250,<10,Malbec,Mendoza Province
1053,85-89,195,10-19,Malbec,Mendoza Province
1054,90-94,393,60-79,Red Blend,Mendoza Province
1055,90-94,331,80-99,Red Blend,Mendoza Province
1056,90-94,327,30-39,Red Blend,Mendoza Province
1057,85-89,237,20-29,Chardonnay,Mendoza Province
1058,90-94,303,20-29,Cabernet Franc,Other
1059,85-89,286,10-19,Malbec,Other
1060,85-89,295,10-19,Cabernet Sauvignon,Mendoza Province
1061,85-89,368,10-19,Malbec,Mendoza Province
1062,85-89,241,50-59,Malbec,Mendoza Province
1063,90-94,227,20-29,Cabernet Sauvignon,Mendoza Province
1064,90-94,443,30-39,Red Blend,Mendoza Province
1065,90-94,281,20-29,Bordeaux-style Red Blend,Mendoza Province
1066,90-94,241,20-29,Malbec,Mendoza Province
1067,80-84,204,10-19,Malbec,Mendoza Province
1068,80-84,200,20-29,Chardonnay,Mendoza Province
1069,85-89,235,10-19,Malbec,Mendoza Province
1070,85-89,263,20-29,Malbec,Mendoza Province
1071,85-89,287,10-19,Chardonnay,Mendoza Province
1072,85-89,276,20-29,Malbec,Mendoza Province
1073,85-89,225,20-29,Malbec,Mendoza Province
1074,80-84,177,10-19,Chardonnay,Other
1075,80-84,182,10-19,Rosé,Mendoza Province
1076,90-94,310,60-79,Red Blend,Mendoza Province
1077,80-84,247,10-19,Cabernet Sauvignon,Mendoza Province
1078,80-84,236,10-19,Malbec,Mendoza Province
1079,80-84,193,10-19,Viognier,Mendoza Province
1080,80-84,231,10-19,Malbec,Mendoza Province
1081,90-94,291,20-29,Malbec-Bonarda,Mendoza Province
1082,90-94,299,20-29,Malbec,Mendoza Province
1083,90-94,283,50-59,White Blend,Mendoza Province
1084,85-89,252,20-29,Malbec,Mendoza Province
1085,85-89,269,10-19,Cabernet Sauvignon,Mendoza Province
1086,85-89,278,10-19,Torrontés,Mendoza Province
1087,80-84,188,10-19,Torrontés,Other
1088,80-84,217,20-29,Malbec,Mendoza Province
1089,80-84,181,10-19,Torrontés,Mendoza Province
1090,85-89,264,20-29,Cabernet Sauvignon,Mendoza Province
1091,80-84,145,20-29,Malbec,Other
1092,90-94,399,60-79,Malbec,Mendoza Province
1093,90-94,368,20-29,Bordeaux-style Red Blend,Mendoza Province
1094,85-89,216,10-19,Malbec,Mendoza Province
1095,85-89,229,10-19,Bonarda,Mendoza Province
1096,90-94,303,10-19,Malbec,Mendoza Province
1097,85-89,396,40-49,Red Blend,Mendoza Province
1098,85-89,307,10-19,Chardonnay,Mendoza Province
1099,90-94,308,20-29,Red Blend,Mendoza Province
1100,90-94,254,10-19,Cabernet Sauvignon,Mendoza Province
1101,85-89,196,10-19,Sémillon,Mendoza Province
1102,85-89,201,10-19,Bonarda,Mendoza Province
1103,80-84,228,10-19,Viognier,Mendoza Province
1104,80-84,266,10-19,Malbec,Mendoza Province
1105,80-84,147,10-19,Chardonnay,Mendoza Province
1106,80-84,200,20-29,Malbec,Mendoza Province
1107,80-84,232,10-19,Malbec,Mendoza Province
1108,80-84,212,10-19,Cabernet Sauvignon,Mendoza Province
1109,90-94,359,30-39,Malbec,Other
1110,85-89,233,20-29,Malbec,Mendoza Province
1111,85-89,223,10-19,Malbec,Mendoza Province
1112,85-89,175,10-19,Cabernet Sauvignon,Mendoza Province
1113,85-89,238,10-19,Malbec,Mendoza Province
1114,85-89,287,10-19,Cabernet Sauvignon,Mendoza Province
1115,85-89,243,30-39,Malbec,Mendoza Province
1116,90-94,288,20-29,Malbec,Mendoza Province
1117,80-84,259,10-19,Malbec,Other
1118,80-84,434,20-29,Malbec,Mendoza Province
1119,90-94,306,20-29,Pinot Noir,Mendoza Province
1120,90-94,263,50-59,Cabernet Sauvignon,Mendoza Province
1121,90-94,302,40-49,Malbec,Mendoza Province
1122,90-94,279,50-59,Malbec,Mendoza Province
1123,90-94,322,50-59,Malbec,Mendoza Province
1124,80-84,252,10-19,Pinot Grigio,Other
1125,85-89,242,10-19,Cabernet Sauvignon,Mendoza Province
1126,85-89,261,30-39,White Blend,Mendoza Province
1127,85-89,241,10-19,Malbec,Mendoza Province
1128,85-89,246,20-29,Malbec,Other
1129,80-84,206,20-29,Pinot Noir,Other
1130,85-89,306,10-19,Bonarda,Mendoza Province
1131,90-94,385,80-99,Cabernet Franc-Cabernet Sauvignon,Mendoza Province
1132,85-89,239,10-19,Cabernet Sauvignon,Mendoza Province
1133,85-89,235,10-19,Malbec,Mendoza Province
1134,85-89,236,10-19,Barbera,Other
1135,90-94,343,80-99,Malbec,Mendoza Province
1136,90-94,286,20-29,Malbec,Mendoza Province
1137,85-89,241,10-19,Pinot Noir,Other
1138,90-94,323,40-49,Malbec,Mendoza Province
1139,90-94,310,60-79,Malbec,Mendoza Province
1140,90-94,400,100+,Malbec-Cabernet Sauvignon,Mendoza Province
1141,85-89,317,40-49,Red Blend,Other
1142,85-89,217,10-19,Torrontés,Other
1143,90-94,255,10-19,Malbec,Mendoza Province
1144,85-89,290,50-59,Cabernet Sauvignon,Mendoza Province
1145,85-89,245,40-49,Malbec,Mendoza Province
1146,85-89,234,10-19,Malbec,Mendoza Province
1147,85-89,186,20-29,Torrontés,Other
1148,85-89,192,10-19,Torrontés,Mendoza Province
1149,85-89,303,20-29,Malbec-Cabernet Sauvignon,Mendoza Province
1150,85-89,269,20-29,Malbec,Mendoza Province
1151,85-89,307,10-19,Tannat,Other
1152,85-89,227,10-19,Torrontés,Mendoza Province
1153,90-94,351,20-29,Bordeaux-style Red Blend,Mendoza Province
1154,85-89,274,10-19,Malbec,Mendoza Province
1155,85-89,244,10-19,Sauvignon Blanc,Mendoza Province
1156,80-84,195,10-19,Chardonnay,Other
1157,80-84,221,10-19,Cabernet Sauvignon,Mendoza Province
1158,80-84,204,10-19,Cabernet Sauvignon,Mendoza Province
1159,80-84,195,10-19,Malbec,Mendoza Province
1160,80-84,181,10-19,Cabernet Sauvignon,Mendoza Province
1161,85-89,303,60-79,Malbec,Mendoza Province
1162,85-89,300,10-19,Malbec,Mendoza Province
1163,85-89,257,80-99,Red Blend,Mendoza Province
1164,85-89,234,20-29,Malbec,Mendoza Province
1165,85-89,302,60-79,Malbec,Mendoza Province
1166,85-89,212,10-19,Cabernet Sauvignon,Mendoza Province
1167,85-89,209,10-19,Torrontés,Other
1168,85-89,244,20-29,Malbec,Mendoza Province
1169,85-89,208,10-19,Sparkling Blend,Mendoza Province
1170,85-89,252,10-19,White Blend,Mendoza Province
1171,90-94,270,10-19,Cabernet Sauvignon,Other
1172,90-94,322,20-29,Malbec,Mendoza Province
1173,80-84,187,10-19,Red Blend,Mendoza Province
1174,80-84,219,<10,Red Blend,Mendoza Province
1175,80-84,204,10-19,Chardonnay,Mendoza Province
1176,85-89,206,10-19,Sauvignon Blanc,Mendoza Province
1177,85-89,194,10-19,Chardonnay,Mendoza Province
1178,85-89,273,10-19,Cabernet Sauvignon,Mendoza Province
1179,85-89,197,10-19,Torrontés,Mendoza Province
1180,85-89,205,10-19,Chardonnay,Mendoza Province
1181,85-89,232,10-19,Chardonnay,Mendoza Province
1182,90-94,325,100+,Cabernet Franc,Mendoza Province
1183,90-94,277,10-19,Cabernet Franc,Other
1184,85-89,208,10-19,Sauvignon Blanc,Mendoza Province
1185,85-89,255,10-19,Red Blend,Mendoza Province
1186,80-84,177,20-29,Malbec,Mendoza Province
1187,80-84,226,10-19,Cabernet Sauvignon,Mendoza Province
1188,90-94,367,30-39,Malbec,Mendoza Province
1189,85-89,259,10-19,Malbec,Mendoza Province
1190,85-89,244,10-19,Torrontés,Other
1191,85-89,270,20-29,Cabernet Sauvignon,Mendoza Province
1192,85-89,239,20-29,Malbec,Mendoza Province
1193,85-89,213,10-19,Cabernet Sauvignon,Mendoza Province
1194,85-89,253,10-19,Malbec,Mendoza Province
1195,85-89,217,10-19,Cabernet Sauvignon,Mendoza Province
1196,85-89,189,10-19,Sauvignon Blanc,Mendoza Province
1197,80-84,217,20-29,Malbec-Merlot,Mendoza Province
1198,80-84,315,30-39,Malbec,Mendoza Province
1199,80-84,238,10-19,Cabernet Sauvignon,Mendoza Province
1200,85-89,251,10-19,Malbec,Other
1201,90-94,298,60-79,Pinot Noir,Other
1202,85-89,247,30-39,Chardonnay,Mendoza Province
1203,85-89,252,20-29,Cabernet Sauvignon,Mendoza Province
1204,85-89,244,30-39,Red Blend,Mendoza Province
1205,85-89,248,20-29,Cabernet Sauvignon,Mendoza Province
1206,85-89,219,10-19,Cabernet Sauvignon,Mendoza Province
1207,85-89,212,10-19,Malbec,Mendoza Province
1208,85-89,261,10-19,Malbec,Mendoza Province
1209,85-89,238,10-19,Cabernet Sauvignon,Mendoza Province
1210,85-89,201,10-19,Moscato,Mendoza Province
1211,85-89,309,20-29,Red Blend,Mendoza Province
1212,85-89,259,10-19,Cabernet Sauvignon,Mendoza Province
1213,90-94,295,20-29,Malbec,Other
1214,90-94,286,10-19,Red Blend,Mendoza Province
1215,90-94,305,10-19,Malbec,Other
1216,85-89,303,10-19,Cabernet Sauvignon,Mendoza Province
1217,85-89,243,10-19,Cabernet Sauvignon,Mendoza Province
1218,85-89,219,20-29,Chardonnay,Mendoza Province
1219,85-89,183,10-19,Malbec,Mendoza Province
1220,80-84,202,10-19,White Blend,Mendoza Province
1221,80-84,223,10-19,Chardonnay,Mendoza Province
1222,85-89,167,30-39,Sparkling Blend,Other
1223,85-89,241,10-19,Malbec,Mendoza Province
1224,85-89,287,10-19,Malbec,Mendoza Province
1225,85-89,251,20-29,Malbec,Mendoza Province
1226,85-89,311,10-19,Syrah,Mendoza Province
1227,90-94,336,60-79,Bordeaux-style Red Blend,Mendoza Province
1228,90-94,312,100+,Malbec-Cabernet,Mendoza Province
1229,85-89,227,10-19,Cabernet Sauvignon,Mendoza Province
1230,85-89,248,10-19,Malbec,Mendoza Province
1231,85-89,257,20-29,Malbec,Mendoza Province
1232,85-89,196,10-19,Chardonnay,Mendoza Province
1233,85-89,152,10-19,Cabernet Sauvignon,Mendoza Province
1234,85-89,271,80-99,Cabernet Blend,Mendoza Province
1235,85-89,226,20-29,Malbec,Mendoza Province
1236,85-89,321,40-49,Cabernet Sauvignon,Mendoza Province
1237,90-94,251,100+,Malbec,Mendoza Province
1238,80-84,239,20-29,Bordeaux-style Red Blend,Mendoza Province
1239,80-84,216,10-19,Sauvignon Blanc,Mendoza Province
1240,85-89,200,10-19,Chardonnay,Mendoza Province
1241,85-89,244,10-19,Malbec,Mendoza Province
1242,90-94,352,20-29,Malbec,Mendoza Province
1243,85-89,216,10-19,Merlot,Other
1244,85-89,278,10-19,Chardonnay,Other
1245,90-94,268,50-59,Malbec,Mendoza Province
1246,90-94,302,80-99,Red Blend,Mendoza Province
1247,90-94,293,10-19,Malbec,Mendoza Province
1248,85-89,244,10-19,Malbec,Mendoza Province
1249,85-89,280,10-19,Red Blend,Mendoza Province
1250,85-89,308,20-29,Malbec,Mendoza Province
1251,85-89,282,20-29,Malbec-Cabernet Sauvignon,Mendoza Province
1252,90-94,364,40-49,Malbec-Cabernet Sauvignon,Mendoza Province
1253,90-94,309,100+,Bordeaux-style Red Blend,Mendoza Province
1254,85-89,229,10-19,Torrontés,Other
1255,90-94,275,30-39,Cabernet Sauvignon,Mendoza Province
1256,85-89,260,20-29,Malbec,Other
1257,85-89,375,30-39,Red Blend,Mendoza Province
1258,85-89,263,20-29,Malbec,Other
1259,85-89,262,20-29,Cabernet Sauvignon,Mendoza Province
1260,90-94,290,40-49,Malbec,Mendoza Province
1261,85-89,274,10-19,Malbec,Mendoza Province
1262,90-94,270,50-59,Chardonnay,Mendoza Province
1263,80-84,235,10-19,Torrontés,Other
1264,80-84,212,10-19,Pinot Noir,Mendoza Province
1265,80-84,202,10-19,Chardonnay,Mendoza Province
1266,80-84,214,10-19,Pinot Noir,Mendoza Province
1267,80-84,267,10-19,Pinot Noir,Mendoza Province
1268,85-89,322,60-79,Cabernet Franc,Mendoza Province
1269,85-89,193,<10,Torrontés,Other
1270,90-94,392,20-29,Bordeaux-style Red Blend,Mendoza Province
1271,85-89,277,10-19,Red Blend,Mendoza Province
1272,85-89,191,10-19,Malbec,Mendoza Province
1273,85-89,283,30-39,Malbec,Mendoza Province
1274,90-94,294,30-39,Bordeaux-style Red Blend,Mendoza Province
1275,90-94,235,30-39,Chardonnay,Mendoza Province
1276,85-89,194,10-19,Torrontés,Mendoza Province
1277,90-94,281,100+,Malbec,Mendoza Province
1278,90-94,344,40-49,Malbec,Mendoza Province
1279,85-89,231,10-19,Cabernet Sauvignon,Mendoza Province
1280,90-94,308,20-29,Cabernet Sauvignon,Mendoza Province
1281,85-89,191,20-29,Cabernet Sauvignon,Mendoza Province
1282,85-89,237,10-19,Cabernet Sauvignon,Mendoza Province
1283,85-89,222,10-19,Torrontés,Mendoza Province
1284,85-89,190,10-19,Chardonnay,Mendoza Province
1285,85-89,272,30-39,Malbec,Mendoza Province
1286,90-94,271,30-39,Red Blend,Mendoza Province
1287,90-94,231,80-99,Malbec,Mendoza Province
1288,85-89,261,20-29,Cabernet Sauvignon,Mendoza Province
1289,85-89,231,40-49,Malbec,Mendoza Province
1290,80-84,227,10-19,Chardonnay,Mendoza Province
1291,80-84,233,30-39,Cabernet Sauvignon,Mendoza Province
1292,80-84,195,10-19,Sauvignon Blanc,Mendoza Province
1293,80-84,253,10-19,Syrah,Mendoza Province
1294,80-84,207,10-19,Malbec,Mendoza Province
1295,85-89,240,20-29,Malbec,Mendoza Province
1296,85-89,297,10-19,Torrontés,Other
1297,85-89,201,10-19,Cabernet Sauvignon,Mendoza Province
1298,85-89,243,10-19,Malbec,Mendoza Province
1299,85-89,269,10-19,Malbec,Mendoza Province
1300,85-89,312,10-19,Syrah,Mendoza Province
1301,85-89,255,10-19,Red Blend,Mendoza Province
1302,85-89,235,10-19,Malbec,Mendoza Province
1303,80-84,287,10-19,Cabernet Sauvignon,Mendoza Province
1304,80-84,272,10-19,Red Blend,Mendoza Province
1305,85-89,339,20-29,Malbec-Cabernet Sauvignon,Mendoza Province
1306,90-94,349,100+,Malbec,Other
1307,90-94,282,40-49,Malbec,Mendoza Province
1308,80-84,190,10-19,Cabernet Sauvignon,Mendoza Province
1309,80-84,205,10-19,Syrah,Other
1310,80-84,163,10-19,Chenin Blanc,Mendoza Province
1311,80-84,217,10-19,Bordeaux-style Red Blend,Mendoza Province
1312,80-84,191,10-19,Cabernet Sauvignon,Mendoza Province
1313,85-89,336,20-29,Cabernet Sauvignon,Mendoza Province
1314,85-89,318,10-19,Torrontés,Mendoza Province
1315,85-89,276,10-19,Cabernet Sauvignon,Mendoza Province
1316,85-89,272,30-39,Chardonnay,Mendoza Province
1317,90-94,261,20-29,Malbec,Mendoza Province
1318,85-89,257,10-19,Malbec,Mendoza Province
1319,85-89,317,40-49,Red Blend,Other
1320,90-94,317,20-29,Malbec,Mendoza Province
1321,90-94,328,40-49,Red Blend,Mendoza Province
1322,85-89,241,20-29,Sparkling Blend,Mendoza Province
1323,85-89,234,10-19,Malbec,Mendoza Province
1324,80-84,365,10-19,Torrontés,Other
1325,80-84,362,10-19,Torrontés,Mendoza Province
1326,85-89,316,10-19,Malbec,Mendoza Province
1327,85-89,293,10-19,Cabernet Sauvignon,Mendoza Province
1328,85-89,292,10-19,Cabernet Sauvignon,Mendoza Province
1329,80-84,214,10-19,Malbec,Mendoza Province
1330,85-89,275,20-29,Red Blend,Mendoza Province
1331,85-89,288,10-19,Bonarda,Mendoza Province
1332,85-89,246,10-19,Bordeaux-style Red Blend,Mendoza Province
1333,85-89,287,10-19,Malbec,Mendoza Province
1334,85-89,276,50-59,Malbec,Mendoza Province
1335,85-89,240,20-29,Malbec,Mendoza Province
1336,85-89,163,10-19,Torrontés,Other
1337,90-94,284,20-29,Cabernet Franc,Mendoza Province
1338,90-94,360,100+,Cabernet Sauvignon,Mendoza Province
1339,85-89,300,10-19,Cabernet Sauvignon,Other
1340,85-89,218,10-19,Bonarda,Mendoza Province
1341,85-89,294,10-19,Cabernet Sauvignon,Mendoza Province
1342,85-89,239,10-19,Torrontés,Mendoza Province
1343,80-84,233,10-19,Red Blend,Mendoza Province
1344,80-84,187,10-19,Malbec,Mendoza Province
1345,80-84,208,10-19,Chardonnay,Mendoza Province
1346,80-84,181,10-19,Malbec,Mendoza Province
1347,90-94,309,10-19,Cabernet Sauvignon,Mendoza Province
1348,85-89,262,20-29,Pinot Noir,Mendoza Province
1349,85-89,286,10-19,Malbec,Mendoza Province
1350,85-89,244,10-19,Sauvignon Blanc,Mendoza Province
1351,85-89,205,<10,Shiraz,Other
1352,90-94,313,10-19,Malbec-Cabernet Sauvignon,Mendoza Province
1353,85-89,224,20-29,Cabernet Sauvignon,Mendoza Province
1354,90-94,328,100+,Cabernet Sauvignon-Malbec,Mendoza Province
1355,85-89,206,10-19,Cabernet Sauvignon,Mendoza Province
1356,85-89,177,10-19,Torrontés,Other
1357,85-89,319,30-39,Malbec,Mendoza Province
1358,85-89,374,50-59,Malbec,Mendoza Province
1359,85-89,249,10-19,Chardonnay,Other
1360,80-84,304,20-29,Merlot,Other
1361,90-94,274,20-29,Red Blend,Mendoza Province
1362,85-89,234,10-19,Malbec,Mendoza Province
1363,85-89,212,10-19,Malbec,Mendoza Province
1364,85-89,287,30-39,Malbec,Other
1365,85-89,344,20-29,Malbec,Mendoza Province
1366,90-94,270,60-79,Malbec,Mendoza Province
1367,85-89,266,10-19,Malbec,Mendoza Province
1368,85-89,218,10-19,Malbec,Mendoza Province
1369,85-89,265,10-19,Torrontés,Mendoza Province
1370,85-89,257,20-29,Malbec,Mendoza Province
1371,85-89,195,10-19,Torrontés,Mendoza Province
1372,85-89,214,10-19,Red Blend,Mendoza Province
1373,85-89,257,20-29,Champagne Blend,Mendoza Province
1374,85-89,276,10-19,Malbec,Mendoza Province
1375,90-94,384,30-39,Malbec,Mendoza Province
1376,85-89,221,10-19,Syrah,Mendoza Province
1377,85-89,253,10-19,Bonarda,Mendoza Province
1378,85-89,284,10-19,Red Blend,Mendoza Province
1379,85-89,253,10-19,Merlot,Mendoza Province
1380,85-89,330,20-29,Bordeaux-style Red Blend,Mendoza Province
1381,85-89,289,10-19,Merlot,Mendoza Province
1382,85-89,253,20-29,Malbec,Mendoza Province
1383,85-89,331,10-19,Tempranillo,Mendoza Province
1384,85-89,282,20-29,Malbec,Other
1385,85-89,287,10-19,Cabernet Sauvignon,Mendoza Province
1386,85-89,268,10-19,Cabernet Sauvignon,Mendoza Province
1387,85-89,240,10-19,Cabernet Sauvignon,Mendoza Province
1388,85-89,245,40-49,Malbec,Mendoza Province
1389,85-89,268,10-19,Malbec,Mendoza Province
1390,85-89,259,20-29,Malbec,Mendoza Province
1391,85-89,203,10-19,Torrontés,Other
1392,90-94,305,50-59,Malbec,Mendoza Province
1393,85-89,226,10-19,Cabernet Franc,Mendoza Province
1394,85-89,305,10-19,Malbec,Mendoza Province
1395,85-89,275,10-19,Malbec,Mendoza Province
1396,85-89,234,20-29,Malbec,Mendoza Province
1397,85-89,241,10-19,Pinot Noir,Other
1398,85-89,221,10-19,Cabernet Sauvignon,Mendoza Province
1399,80-84,238,10-19,Cabernet Sauvignon,Mendoza Province
1400,80-84,259,10-19,Pinot Noir,Other
1401,80-84,281,10-19,Malbec,Mendoza Province
1402,80-84,229,10-19,Cabernet Sauvignon,Mendoza Province
1403,80-84,241,10-19,Malbec,Mendoza Province
1404,80-84,174,10-19,Chardonnay,Mendoza Province
1405,85-89,247,10-19,White Blend,Mendoza Province
1406,85-89,257,10-19,Torrontés,Other
1407,80-84,227,10-19,Torrontés,Other
1408,85-89,223,20-29,Malbec,Mendoza Province
1409,85-89,153,10-19,Malbec,Mendoza Province
1410,90-94,323,30-39,Bordeaux-style Red Blend,Mendoza Province
1411,90-94,297,100+,Cabernet Franc,Mendoza Province
1412,90-94,259,40-49,Malbec,Mendoza Province
1413,85-89,231,10-19,Sauvignon Blanc,Other
1414,85-89,292,10-19,Torrontés,Mendoza Province
1415,85-89,303,10-19,Merlot,Mendoza Province
1416,80-84,245,10-19,Chardonnay,Mendoza Province
1417,80-84,282,10-19,Malbec,Mendoza Province
1418,80-84,246,10-19,Chardonnay,Mendoza Province
1419,85-89,230,10-19,Cabernet Sauvignon,Mendoza Province
1420,85-89,228,20-29,Malbec,Mendoza Province
1421,90-94,280,40-49,Cabernet Sauvignon,Mendoza Province
1422,90-94,301,20-29,Malbec,Mendoza Province
1423,85-89,301,20-29,Cabernet Sauvignon,Other
1424,85-89,178,10-19,Cabernet Sauvignon,Mendoza Province
1425,85-89,303,10-19,Cabernet Sauvignon,Mendoza Province
1426,85-89,294,40-49,Chardonnay,Mendoza Province
1427,80-84,201,10-19,Pinot Grigio,Other
1428,80-84,274,10-19,Bordeaux-style White Blend,Mendoza Province
1429,80-84,298,10-19,Syrah,Other
1430,85-89,197,10-19,Cabernet Sauvignon,Mendoza Province
1431,85-89,194,10-19,Malbec,Mendoza Province
1432,85-89,170,10-19,Malbec,Other
1433,85-89,236,20-29,Cabernet Sauvignon,Mendoza Province
1434,85-89,204,10-19,Sauvignon Blanc,Mendoza Province
1435,80-84,136,10-19,Chardonnay,Mendoza Province
1436,80-84,158,10-19,Chardonnay,Mendoza Province
1437,80-84,136,10-19,Pinot Grigio,Mendoza Province
1438,80-84,184,10-19,Sauvignon Blanc,Mendoza Province
1439,85-89,274,10-19,Syrah,Mendoza Province
1440,90-94,329,50-59,Cabernet Sauvignon,Mendoza Province
1441,85-89,200,10-19,Torrontés,Mendoza Province
1442,85-89,198,20-29,Malbec,Mendoza Province
1443,85-89,230,10-19,Pinot Gris,Mendoza Province
1444,85-89,313,20-29,Chardonnay,Mendoza Province
1445,90-94,358,50-59,Bordeaux-style Red Blend,Mendoza Province
1446,90-94,260,20-29,Malbec,Mendoza Province
1447,90-94,399,30-39,Bordeaux-style Red Blend,Mendoza Province
1448,90-94,260,100+,Malbec,Mendoza Province
1449,90-94,297,100+,Cabernet Franc,Mendoza Province
1450,85-89,245,10-19,Malbec,Mendoza Province
1451,85-89,218,10-19,Torrontés,Other
1452,85-89,195,10-19,Chardonnay,Mendoza Province
1453,85-89,224,20-29,Red Blend,Mendoza Province
1454,90-94,347,40-49,Malbec,Mendoza Province
1455,85-89,300,20-29,Malbec,Mendoza Province
1456,85-89,206,10-19,Sauvignon Blanc,Mendoza Province
1457,85-89,273,10-19,Cabernet Sauvignon,Mendoza Province
1458,85-89,231,10-19,Malbec-Cabernet Franc,Mendoza Province
1459,85-89,248,10-19,Cabernet Sauvignon,Mendoza Province
1460,85-89,278,10-19,Malbec,Mendoza Province
1461,80-84,258,10-19,Chardonnay,Other
1462,85-89,304,10-19,Malbec,Mendoza Province
1463,85-89,330,20-29,Red Blend,Mendoza Province
1464,85-89,286,20-29,Red Blend,Mendoza Province
1465,85-89,217,10-19,Chardonnay,Mendoza Province
1466,85-89,201,10-19,Chardonnay,Mendoza Province
1467,85-89,239,10-19,Rosé,Mendoza Province
1468,85-89,189,20-29,Chardonnay,Mendoza Province
1469,90-94,326,60-79,Malbec,Mendoza Province
1470,90-94,305,50-59,Malbec,Mendoza Province
1471,85-89,238,30-39,Malbec,Mendoza Province
1472,85-89,245,10-19,Malbec,Mendoza Province
1473,85-89,359,10-19,Bonarda,Mendoza Province
1474,85-89,312,10-19,Red Blend,Mendoza Province
1475,85-89,331,10-19,White Blend,Mendoza Province
1476,85-89,252,40-49,Cabernet Sauvignon,Mendoza Province
1477,85-89,275,20-29,Cabernet Sauvignon,Mendoza Province
1478,85-89,200,10-19,Malbec-Cabernet Sauvignon,Mendoza Province
1479,85-89,210,30-39,Petit Verdot,Mendoza Province
1480,85-89,195,10-19,Torrontés,Other
1481,85-89,279,10-19,Malbec,Other
1482,85-89,237,10-19,Malbec,Mendoza Province
1483,85-89,255,10-19,Red Blend,Mendoza Province
1484,90-94,347,50-59,Cabernet Sauvignon,Mendoza Province
1485,90-94,332,40-49,Red Blend,Mendoza Province
1486,90-94,275,50-59,Malbec,Mendoza Province
1487,85-89,298,30-39,Malbec,Mendoza Province
1488,85-89,275,20-29,Malbec-Cabernet Sauvignon,Mendoza Province
1489,85-89,340,10-19,Cabernet Sauvignon,Mendoza Province
1490,85-89,321,40-49,Malbec,Mendoza Province
1491,85-89,202,20-29,Cabernet Sauvignon,Mendoza Province
1492,85-89,240,30-39,Malbec,Mendoza Province
1493,90-94,295,40-49,Malbec-Petit Verdot,Mendoza Province
1494,90-94,255,60-79,Malbec,Mendoza Province
1495,90-94,239,30-39,Malbec,Mendoza Province
1496,85-89,261,50-59,Syrah,Mendoza Province
1497,85-89,299,80-99,Malbec Blend,Mendoza Province
1498,90-94,284,10-19,Cabernet Sauvignon,Mendoza Province
1499,90-94,238,20-29,Malbec,Mendoza Province
1500,85-89,170,10-19,Malbec,Mendoza Province
1501,90-94,276,40-49,Malbec,Mendoza Province
1502,90-94,340,20-29,Malbec,Mendoza Province
1503,85-89,194,10-19,Syrah,Other
1504,90-94,323,80-99,Malbec,Mendoza Province
1505,85-89,165,10-19,Malbec,Mendoza Province
1506,80-84,217,10-19,Merlot,Mendoza Province
1507,80-84,225,10-19,Malbec,Mendoza Province
1508,80-84,269,<10,Cabernet Sauvignon,Mendoza Province
1509,80-84,217,<10,Malbec,Mendoza Province
1510,80-84,218,30-39,Malbec,Mendoza Province
1511,80-84,262,10-19,Cabernet Sauvignon,Mendoza Province
1512,80-84,237,10-19,White Blend,Mendoza Province
1513,85-89,206,10-19,Chardonnay,Mendoza Province
1514,85-89,229,10-19,Malbec,Mendoza Province
1515,85-89,158,10-19,Cabernet Sauvignon,Mendoza Province
1516,85-89,251,10-19,Malbec,Mendoza Province
1517,85-89,186,10-19,Malbec,Mendoza Province
1518,85-89,274,10-19,Red Blend,Mendoza Province
1519,85-89,228,10-19,Malbec,Other
1520,85-89,303,20-29,Malbec,Mendoza Province
1521,85-89,296,30-39,Malbec,Mendoza Province
1522,80-84,262,100+,Malbec,Other
1523,80-84,206,10-19,Torrontés,Mendoza Province
1524,85-89,211,30-39,Pinot Noir,Other
1525,80-84,171,10-19,Malbec,Mendoza Province
1526,90-94,295,100+,Malbec-Cabernet Franc,Mendoza Province
1527,85-89,234,10-19,Malbec,Mendoza Province
1528,85-89,281,20-29,Cabernet Sauvignon,Mendoza Province
1529,80-84,197,10-19,Sauvignon Blanc,Mendoza Province
1530,80-84,234,10-19,Malbec-Tannat,Other
1531,80-84,163,10-19,Cabernet Sauvignon,Mendoza Province
1532,80-84,342,50-59,Chardonnay,Mendoza Province
1533,80-84,185,10-19,Red Blend,Mendoza Province
1534,80-84,236,10-19,Torrontés,Mendoza Province
1535,90-94,293,50-59,Malbec,Mendoza Province
1536,90-94,278,40-49,Red Blend,Mendoza Province
1537,80-84,187,10-19,Sauvignon Blanc,Mendoza Province
1538,90-94,310,40-49,Malbec,Mendoza Province
1539,90-94,281,20-29,Malbec,Mendoza Province
1540,90-94,334,100+,Malbec,Mendoza Province
1541,90-94,281,20-29,Cabernet Sauvignon,Mendoza Province
1542,85-89,242,20-29,Bonarda,Mendoza Province
1543,85-89,252,10-19,Malbec,Mendoza Province
1544,90-94,314,100+,Malbec,Mendoza Province
1545,90-94,313,80-99,Bordeaux-style Red Blend,Mendoza Province
1546,85-89,256,30-39,Cabernet Franc,Mendoza Province
1547,85-89,284,30-39,Malbec,Mendoza Province
1548,85-89,263,20-29,Merlot,Mendoza Province
1549,90-94,261,40-49,Malbec,Mendoza Province
1550,90-94,287,20-29,Malbec,Mendoza Province
1551,85-89,274,10-19,Malbec,Other
