,points_range,deslen,price_range,variety,province
173,85-89,239,10-19,Malbec,Mendoza Province
174,85-89,256,60-79,Malbec-Cabernet Sauvignon,Mendoza Province
175,85-89,290,40-49,Cabernet Sauvignon,Mendoza Province
176,85-89,323,50-59,Syrah-Viognier,Mendoza Province
177,90-94,272,20-29,Malbec,Mendoza Province
178,90-94,351,20-29,Bordeaux-style Red Blend,Mendoza Province
179,85-89,249,20-29,Cabernet Franc,Mendoza Province
180,85-89,209,10-19,Torrontés,Other
181,85-89,244,20-29,Malbec,Mendoza Province
182,85-89,281,20-29,Malbec,Mendoza Province
183,85-89,228,10-19,Malbec,Mendoza Province
184,85-89,212,10-19,Chardonnay,Mendoza Province
185,80-84,202,10-19,Cabernet Sauvignon,Mendoza Province
186,80-84,184,10-19,Torrontés,Other
187,80-84,215,10-19,Sparkling Blend,Mendoza Province
188,80-84,354,10-19,Malbec,Mendoza Province
189,85-89,240,10-19,Pinot Gris,Mendoza Province
190,90-94,275,20-29,Cabernet Franc,Mendoza Province
191,90-94,228,40-49,Bordeaux-style Red Blend,Mendoza Province
192,85-89,250,10-19,Malbec,Mendoza Province
193,80-84,201,10-19,Chardonnay,Other
194,90-94,299,60-79,Malbec,Mendoza Province
195,90-94,260,100+,Red Blend,Mendoza Province
196,85-89,208,10-19,Malbec,Mendoza Province
197,85-89,207,10-19,Cabernet Franc,Other
198,90-94,333,40-49,Malbec,Mendoza Province
199,90-94,357,40-49,Malbec,Mendoza Province
200,90-94,326,80-99,Malbec,Mendoza Province
201,90-94,327,80-99,Malbec,Mendoza Province
202,90-94,256,10-19,Malbec,Mendoza Province
203,90-94,343,60-79,Malbec-Cabernet Sauvignon,Other
204,85-89,264,<10,Cabernet Sauvignon,Mendoza Province
205,90-94,343,50-59,Bordeaux-style Red Blend,Mendoza Province
206,85-89,225,20-29,Cabernet Sauvignon,Mendoza Province
207,85-89,214,10-19,Torrontés,Other
208,90-94,290,40-49,Malbec,Mendoza Province
209,90-94,296,30-39,Malbec,Mendoza Province
210,95-99,361,60-79,Cabernet Sauvignon-Malbec,Mendoza Province
211,85-89,333,10-19,Syrah,Mendoza Province
212,85-89,362,20-29,Bordeaux-style Red Blend,Mendoza Province
213,85-89,287,10-19,Malbec,Mendoza Province
214,90-94,369,60-79,Red Blend,Mendoza Province
215,90-94,320,80-99,Red Blend,Mendoza Province
216,90-94,265,100+,Malbec,Mendoza Province
217,80-84,232,10-19,Malbec,Mendoza Province
218,80-84,220,20-29,Champagne Blend,Mendoza Province
219,80-84,256,10-19,Cabernet Sauvignon,Mendoza Province
220,90-94,330,80-99,Malbec,Mendoza Province
221,85-89,283,10-19,Merlot,Mendoza Province
222,85-89,332,10-19,Malbec,Mendoza Province
223,85-89,286,10-19,Chardonnay,Mendoza Province
224,85-89,250,10-19,Chardonnay,Mendoza Province
225,85-89,284,10-19,Syrah,Mendoza Province
226,90-94,297,50-59,Malbec,Mendoza Province
227,90-94,241,30-39,Malbec,Mendoza Province
228,85-89,265,10-19,Cabernet Sauvignon,Mendoza Province
229,85-89,258,20-29,Syrah,Mendoza Province
230,90-94,315,100+,Malbec,Mendoza Province
231,90-94,378,100+,Malbec,Mendoza Province
232,90-94,351,20-29,Malbec,Mendoza Province
233,90-94,253,30-39,Chardonnay,Mendoza Province
234,90-94,354,100+,Malbec,Mendoza Province
235,85-89,257,10-19,Malbec,Mendoza Province
236,85-89,199,10-19,Malbec,Mendoza Province
237,85-89,249,10-19,Cabernet Sauvignon,Mendoza Province
238,85-89,271,10-19,Red Blend,Mendoza Province
239,85-89,224,10-19,Malbec,Mendoza Province
240,85-89,288,20-29,Pinot Noir,Mendoza Province
241,85-89,252,20-29,Malbec,Other
242,85-89,275,10-19,Bonarda,Mendoza Province
243,85-89,315,80-99,Malbec,Other
244,85-89,255,20-29,Cabernet Sauvignon,Mendoza Province
245,85-89,187,10-19,Malbec,Mendoza Province
246,85-89,280,10-19,Malbec,Mendoza Province
247,85-89,249,20-29,Cabernet Sauvignon,Mendoza Province
248,85-89,291,20-29,Cabernet Sauvignon,Mendoza Province
249,85-89,220,10-19,Malbec,Mendoza Province
250,85-89,282,10-19,Malbec,Mendoza Province
251,85-89,269,10-19,Bonarda,Mendoza Province
252,85-89,237,10-19,Malbec,Mendoza Province
253,90-94,294,40-49,Bordeaux-style Red Blend,Mendoza Province
254,80-84,187,10-19,Sauvignon Blanc,Other
255,80-84,231,10-19,Chardonnay,Other
256,80-84,192,10-19,Malbec,Mendoza Province
257,80-84,231,20-29,Chardonnay,Mendoza Province
258,80-84,123,10-19,Sauvignon Blanc,Mendoza Province
259,90-94,248,100+,Malbec,Mendoza Province
260,90-94,342,100+,Malbec,Mendoza Province
261,85-89,213,20-29,Malbec,Mendoza Province
262,85-89,236,20-29,Malbec,Mendoza Province
263,90-94,268,40-49,Malbec,Mendoza Province
264,90-94,301,20-29,Cabernet Franc,Mendoza Province
265,85-89,196,30-39,Cabernet Sauvignon,Mendoza Province
266,80-84,233,10-19,Syrah,Mendoza Province
267,80-84,294,10-19,Cabernet Sauvignon,Other
268,80-84,246,10-19,Torrontés,Mendoza Province
269,85-89,232,50-59,Malbec,Mendoza Province
270,85-89,265,10-19,Cabernet Sauvignon,Mendoza Province
271,90-94,309,20-29,Malbec,Other
272,85-89,307,10-19,Champagne Blend,Mendoza Province
273,80-84,225,10-19,Chardonnay,Mendoza Province
274,80-84,237,10-19,Malbec,Other
275,80-84,200,10-19,Torrontés,Other
276,80-84,217,10-19,Cabernet Sauvignon,Mendoza Province
277,80-84,251,10-19,Malbec,Mendoza Province
278,80-84,273,10-19,Malbec,Mendoza Province
279,85-89,228,10-19,Malbec,Mendoza Province
280,85-89,208,40-49,Malbec,Other
281,85-89,222,20-29,Red Blend,Other
282,90-94,308,20-29,Malbec,Mendoza Province
283,80-84,204,20-29,Malbec,Mendoza Province
284,85-89,224,10-19,Bonarda,Mendoza Province
285,85-89,262,10-19,Cabernet Sauvignon,Other
286,85-89,282,10-19,Malbec,Mendoza Province
287,85-89,227,10-19,Malbec,Mendoza Province
288,85-89,246,20-29,Malbec,Mendoza Province
289,80-84,222,10-19,Chardonnay,Mendoza Province
290,80-84,256,10-19,Malbec,Mendoza Province
291,80-84,267,10-19,Malbec,Mendoza Province
292,80-84,272,10-19,Torrontés,Mendoza Province
293,85-89,283,20-29,Chardonnay,Mendoza Province
294,85-89,286,20-29,Malbec,Mendoza Province
295,85-89,235,<10,Sauvignon Blanc,Mendoza Province
296,85-89,291,10-19,Tempranillo,Mendoza Province
297,85-89,305,20-29,Cabernet Sauvignon,Mendoza Province
298,80-84,261,<10,Cabernet Sauvignon-Malbec,Mendoza Province
299,80-84,127,<10,Chardonnay,Mendoza Province
300,80-84,184,10-19,Torrontés,Mendoza Province
301,80-84,238,10-19,Cabernet Sauvignon,Mendoza Province
302,80-84,225,10-19,Cabernet Sauvignon,Mendoza Province
303,80-84,120,10-19,Chardonnay,Mendoza Province
304,85-89,306,20-29,Malbec,Mendoza Province
305,80-84,186,10-19,Malbec,Other
306,80-84,214,10-19,Cabernet Sauvignon,Mendoza Province
307,80-84,243,10-19,Sparkling Blend,Other
308,90-94,298,30-39,Cabernet Sauvignon,Mendoza Province
309,90-94,256,40-49,Malbec,Mendoza Province
310,90-94,296,30-39,Malbec-Cabernet Sauvignon,Mendoza Province
311,90-94,285,100+,Malbec,Mendoza Province
312,90-94,283,20-29,Malbec,Mendoza Province
313,90-94,268,50-59,Malbec,Mendoza Province
314,90-94,273,40-49,Malbec,Mendoza Province
315,90-94,331,30-39,Red Blend,Mendoza Province
316,90-94,267,100+,Cabernet Franc,Mendoza Province
317,85-89,270,10-19,Torrontés,Other
318,85-89,198,10-19,Sauvignon Blanc,Other
319,85-89,247,10-19,Cabernet Sauvignon,Mendoza Province
320,85-89,281,10-19,Malbec,Mendoza Province
321,80-84,219,<10,Pinot Grigio,Other
322,85-89,302,10-19,Malbec,Mendoza Province
323,85-89,302,10-19,Bonarda,Mendoza Province
324,85-89,372,20-29,Malbec-Cabernet Sauvignon,Mendoza Province
325,85-89,216,20-29,Chardonnay,Mendoza Province
326,85-89,306,20-29,Merlot-Cabernet Franc,Mendoza Province
327,85-89,201,10-19,Malbec,Mendoza Province
328,85-89,213,10-19,Cabernet Sauvignon,Mendoza Province
329,85-89,253,10-19,Malbec,Mendoza Province
330,80-84,241,10-19,Malbec,Mendoza Province
331,80-84,281,10-19,Malbec,Mendoza Province
332,80-84,253,10-19,Cabernet Sauvignon,Mendoza Province
333,85-89,191,10-19,Malbec,Mendoza Province
334,85-89,194,10-19,Malbec,Mendoza Province
335,80-84,203,10-19,Malbec,Mendoza Province
336,90-94,289,30-39,Malbec,Mendoza Province
337,90-94,269,20-29,Red Blend,Mendoza Province
338,85-89,302,30-39,Cabernet Sauvignon,Mendoza Province
339,85-89,259,10-19,Bonarda,Mendoza Province
340,85-89,356,10-19,Red Blend,Other
341,85-89,271,20-29,Malbec,Mendoza Province
342,85-89,205,10-19,Malbec,Mendoza Province
343,85-89,276,20-29,Cabernet Sauvignon,Other
344,85-89,301,20-29,Cabernet Sauvignon,Mendoza Province
345,90-94,237,30-39,Malbec,Mendoza Province
346,90-94,285,30-39,Cabernet Franc,Mendoza Province
347,80-84,205,10-19,Chardonnay,Mendoza Province
348,80-84,244,10-19,Cabernet Sauvignon,Mendoza Province
349,80-84,225,10-19,Chardonnay,Mendoza Province
350,85-89,272,10-19,Malbec,Mendoza Province
351,85-89,253,10-19,Red Blend,Mendoza Province
352,85-89,290,10-19,Cabernet Sauvignon,Mendoza Province
353,80-84,198,10-19,Pinot Noir,Mendoza Province
354,80-84,237,20-29,Chardonnay,Mendoza Province
355,90-94,306,30-39,Malbec,Mendoza Province
356,90-94,367,20-29,Bordeaux-style Red Blend,Mendoza Province
357,85-89,286,20-29,Cabernet Sauvignon,Mendoza Province
358,80-84,183,10-19,Cabernet Sauvignon-Malbec,Mendoza Province
359,80-84,231,10-19,Torrontés,Mendoza Province
360,80-84,249,10-19,Pinot Noir,Mendoza Province
361,85-89,269,10-19,Malbec,Mendoza Province
362,90-94,279,10-19,Cabernet Sauvignon,Mendoza Province
363,80-84,236,10-19,Malbec,Mendoza Province
364,90-94,241,20-29,Cabernet Franc,Mendoza Province
365,90-94,265,20-29,Malbec,Mendoza Province
366,85-89,215,10-19,Pinot Noir,Mendoza Province
367,85-89,265,10-19,Malbec,Mendoza Province
368,85-89,226,10-19,Riesling,Mendoza Province
369,85-89,223,10-19,Malbec,Mendoza Province
370,85-89,246,10-19,Bordeaux-style Red Blend,Mendoza Province
371,85-89,250,10-19,Malbec,Mendoza Province
372,85-89,200,10-19,Cabernet Sauvignon,Mendoza Province
373,90-94,383,80-99,Malbec,Mendoza Province
374,90-94,318,100+,Malbec,Other
375,90-94,315,100+,Malbec,Mendoza Province
376,85-89,247,10-19,Malbec,Mendoza Province
377,85-89,281,20-29,Malbec,Mendoza Province
378,85-89,210,10-19,Cabernet Sauvignon,Mendoza Province
379,85-89,217,20-29,Sauvignon Blanc,Mendoza Province
380,80-84,168,10-19,Chardonnay,Mendoza Province
381,80-84,175,10-19,Torrontés,Mendoza Province
382,85-89,184,10-19,Malbec,Mendoza Province
383,85-89,282,10-19,Viognier,Other
384,85-89,186,10-19,Malbec,Mendoza Province
385,90-94,299,60-79,Malbec,Mendoza Province
386,90-94,260,100+,Red Blend,Mendoza Province
387,80-84,166,20-29,Sauvignon Blanc,Mendoza Province
388,80-84,219,10-19,Malbec,Mendoza Province
389,80-84,313,20-29,Sparkling Blend,Mendoza Province
390,80-84,218,20-29,Malbec,Mendoza Province
391,80-84,160,10-19,Sauvignon Blanc,Mendoza Province
392,80-84,208,10-19,Merlot,Mendoza Province
393,80-84,205,20-29,Red Blend,Mendoza Province
394,85-89,185,10-19,Malbec,Mendoza Province
395,85-89,313,20-29,Red Blend,Mendoza Province
396,85-89,263,10-19,Malbec,Mendoza Province
397,85-89,248,20-29,Malbec,Mendoza Province
398,85-89,301,10-19,Tannat,Other
399,85-89,276,10-19,Malbec,Mendoza Province
400,85-89,200,30-39,Malbec,Mendoza Province
401,85-89,285,50-59,White Blend,Mendoza Province
402,80-84,257,10-19,Red Blend,Other
403,80-84,154,10-19,Bonarda,Mendoza Province
404,80-84,234,10-19,Malbec,Mendoza Province
405,90-94,364,50-59,Malbec,Mendoza Province
406,90-94,394,80-99,Malbec,Mendoza Province
407,85-89,322,20-29,Red Blend,Mendoza Province
408,85-89,235,10-19,Malbec,Mendoza Province
409,90-94,333,50-59,Cabernet Sauvignon,Mendoza Province
410,85-89,256,10-19,Red Blend,Other
411,85-89,299,10-19,Cabernet Sauvignon,Other
412,85-89,217,10-19,Malbec,Mendoza Province
413,85-89,238,10-19,Red Blend,Mendoza Province
414,85-89,222,10-19,Torrontés,Other
415,85-89,257,10-19,Syrah,Other
416,80-84,220,20-29,Rosé,Mendoza Province
417,80-84,185,10-19,Malbec,Other
418,80-84,244,10-19,Cabernet Sauvignon,Mendoza Province
419,80-84,230,10-19,Malbec,Mendoza Province
420,80-84,193,20-29,Cabernet Sauvignon,Mendoza Province
421,90-94,285,30-39,Malbec,Mendoza Province
422,85-89,297,20-29,Red Blend,Mendoza Province
423,85-89,272,30-39,Malbec,Mendoza Province
424,85-89,253,20-29,Cabernet Sauvignon,Mendoza Province
425,85-89,270,<10,Chardonnay,Mendoza Province
426,85-89,232,10-19,Cabernet Sauvignon,Mendoza Province
427,80-84,157,10-19,Malbec,Mendoza Province
428,80-84,224,10-19,Sparkling Blend,Mendoza Province
429,80-84,215,10-19,Chardonnay,Mendoza Province
430,80-84,174,10-19,Malbec,Mendoza Province
431,80-84,207,10-19,Malbec,Other
432,80-84,165,10-19,Malbec,Mendoza Province
433,80-84,245,10-19,Malbec,Mendoza Province
434,85-89,178,10-19,Tocai,Mendoza Province
435,85-89,251,10-19,Pinot Noir,Mendoza Province
436,85-89,190,10-19,Sauvignon Blanc,Mendoza Province
437,90-94,323,30-39,Bordeaux-style Red Blend,Mendoza Province
438,90-94,315,60-79,Malbec,Mendoza Province
439,90-94,256,20-29,Malbec,Mendoza Province
440,90-94,320,60-79,Petit Verdot,Mendoza Province
441,80-84,258,30-39,White Blend,Mendoza Province
442,80-84,166,10-19,Cabernet Sauvignon,Mendoza Province
443,90-94,402,50-59,Red Blend,Mendoza Province
444,90-94,368,100+,Red Blend,Mendoza Province
445,85-89,268,10-19,Malbec,Mendoza Province
446,85-89,217,10-19,Malbec,Mendoza Province
447,85-89,195,10-19,Cabernet Sauvignon,Mendoza Province
448,85-89,180,10-19,Cabernet Sauvignon,Mendoza Province
449,85-89,198,10-19,Cabernet Sauvignon,Other
450,90-94,224,40-49,Malbec,Mendoza Province
451,90-94,353,40-49,Malbec,Mendoza Province
452,85-89,211,10-19,Malbec,Mendoza Province
453,90-94,295,40-49,Malbec-Petit Verdot,Mendoza Province
454,90-94,283,30-39,Malbec,Mendoza Province
455,85-89,242,10-19,Chardonnay,Mendoza Province
456,85-89,165,10-19,Chardonnay,Mendoza Province
457,80-84,188,10-19,Cabernet Sauvignon,Mendoza Province
458,80-84,182,10-19,Chardonnay,Mendoza Province
459,80-84,225,10-19,Torrontés,Mendoza Province
460,80-84,193,20-29,Malbec,Mendoza Province
461,80-84,179,20-29,Sangiovese,Mendoza Province
462,80-84,222,10-19,Malbec,Mendoza Province
463,85-89,252,20-29,Champagne Blend,Mendoza Province
464,85-89,253,50-59,Malbec,Mendoza Province
